store_id,item_id,model,MAE,RMSE,MAPE
store_1,item_1,Naive,12.468493150684932,16.863269641848778,23.14214173131258
store_1,item_1,MovingAvg_28,11.563013698630137,15.255775223266957,23.265736586000713
store_1,item_1,HoltWinters,11.75392722192531,15.733704057318903,22.89522364927386
store_1,item_10,Naive,8.93972602739726,11.518062051606492,31.004678163685334
store_1,item_10,MovingAvg_28,6.402054794520548,8.487570258661938,25.356433555499407
store_1,item_10,HoltWinters,6.522987632790451,8.683907422206598,25.25893373802396
store_1,item_11,Naive,11.580821917808219,14.226831682635012,37.336318615802654
store_1,item_11,MovingAvg_28,6.961350293542074,9.29386459263619,24.383878241514182
store_1,item_11,HoltWinters,6.914854715760457,9.222419776891646,24.375435032754925
store_1,item_12,Naive,11.69041095890411,13.912347920373982,44.83061798687977
store_1,item_12,MovingAvg_28,6.208317025440313,8.141218678499492,28.115825501955445
store_1,item_12,HoltWinters,6.470163989761189,8.596460920796414,27.58458180811273
store_1,item_13,Naive,12.463013698630137,16.561797930325426,25.186474159355203
store_1,item_13,MovingAvg_28,10.165851272015656,13.563806310437412,22.9324780491807
store_1,item_13,HoltWinters,10.424798177266462,14.050970757475246,22.745246470362936
store_1,item_14,Naive,11.978082191780821,14.123719483719382,41.8424924349175
store_1,item_14,MovingAvg_28,6.168003913894324,7.9045671163686375,25.982497601684408
store_1,item_14,HoltWinters,6.383364743607775,8.256802375810356,25.45414577918316
store_1,item_15,Naive,6.684931506849315,8.774183800779593,26.70441768927233
store_1,item_15,MovingAvg_28,5.5393346379647745,7.21230039916568,26.14817878804957
store_1,item_15,HoltWinters,5.746233111117363,7.568547148177194,25.287076250689438
store_1,item_16,Naive,7.8191780821917805,10.308129522206022,23.269751837775697
store_1,item_16,MovingAvg_28,7.836203522504893,10.331549456586302,23.271099133994653
store_1,item_16,HoltWinters,7.954915473545048,10.506900697164875,23.280493320567164
store_1,item_17,Naive,6.638356164383562,8.388348083004415,33.64442142717231
store_1,item_17,MovingAvg_28,5.029745596868885,6.548991731815114,28.61261589889325
store_1,item_17,HoltWinters,4.883534452851772,6.30618974627306,28.83339674892641
store_1,item_18,Naive,10.446575342465753,13.580707508755063,23.1129115785901
store_1,item_18,MovingAvg_28,9.42876712328767,11.965132575104962,22.827839149276656
store_1,item_18,HoltWinters,9.630547663919439,12.37760835960716,22.555359169013023
store_1,item_19,Naive,5.917808219178082,7.146222299277075,60.61116538620567
store_1,item_19,MovingAvg_28,4.526320939334638,5.806955584148738,36.49321851119517
store_1,item_19,HoltWinters,4.562928375198072,5.858282118870137,36.311503735974945
store_1,item_2,Naive,13.8,18.108879226758212,28.382808720106844
store_1,item_2,MovingAvg_28,10.8353228962818,14.328059184105367,24.648223452376172
store_1,item_2,HoltWinters,10.84706853065549,14.34778448594371,24.645551427972787
store_1,item_20,Naive,13.246575342465754,17.904388380720277,23.578365750776417
store_1,item_20,MovingAvg_28,11.671819960861058,15.70273414596745,22.41610283114061
store_1,item_20,HoltWinters,11.849215680759096,15.977734960800095,22.430927293461053
store_1,item_21,Naive,11.323287671232876,14.81419164087608,24.82841114558537
store_1,item_21,MovingAvg_28,9.833855185909979,12.872630919210716,23.418981728641818
store_1,item_21,HoltWinters,9.89217368475336,12.965572388658687,23.404288760613195
store_1,item_22,Naive,7.887671232876713,9.760838724348423,34.97727629918004
store_1,item_22,MovingAvg_28,5.327495107632094,6.9478480305833195,27.340947539021883
store_1,item_22,HoltWinters,5.376687013023544,7.004728874767453,27.377444351556594
store_1,item_23,Naive,3.7315068493150685,4.970047269696104,38.81724622584258
store_1,item_23,MovingAvg_28,3.700391389432485,4.906695829600182,39.29055809972731
